"row_key","gid","probe_uid","cdt_historical_id","gpl_orf","gpl_feature_name","gpl_gene_symbol","current_sgd_id","current_systematic_id","current_standard_name","current_feature_type","current_qualifier","mapping_status","mean_p","mean_non_p","p_effect","p_consistency_count","median_p","median_non_p","background_mad","p_specificity_score","p_specificity_rank","fixed_threshold_member","top_133_score_member"
"A_06_P1662","GENE2392X","A_06_P1662","YCR037C","YCR037C","YCR037C","PHO87","S000000633","YCR037C","PHO87","ORF","Verified","current",-0.583333333333333,-0.255333333333333,-0.328,2,-0.72,-0.21,0.244629,-1.479852246909,5063,FALSE,FALSE
"A_06_P3777","GENE2198X","A_06_P3777","YHR199C","YHR199C","YHR199C","ORF:YHR199C","S000001242","YHR199C","AIM46","ORF","Verified","current",-0.445,0.0153333333333333,-0.460333333333333,0,-0.44,0.07,0.244629,-1.479852246909,5064,FALSE,FALSE
"A_06_P3643","GENE2050X","A_06_P3643","YHR070W","YHR070W","YHR070W","TRM5","S000001112","YHR070W","TRM5","ORF","Verified","current",-0.576666666666667,-0.178666666666667,-0.398,1,-0.665,-0.1,0.281694,-1.48024333628509,5065,FALSE,FALSE
"A_06_P6906","GENE4565X","A_06_P6906","YPL147W","YPL147W","YPL147W","PXA1","S000006068","YPL147W","PXA1","ORF","Verified","current",-0.258333333333333,0.541666666666667,-0.8,0,-0.245,0.375,0.318759,-1.4805651938227,5066,FALSE,FALSE
"A_06_P1952","GENE21X","A_06_P1952","YDL217C","YDL217C","YDL217C","TIM22","S000002376","YDL217C","TIM22","ORF","Verified","current",-1.005,-0.357,-0.648,0,-1.105,-0.32,0.429954,-1.48126063771573,5067,FALSE,FALSE
"A_06_P2640","GENE967X","A_06_P2640","YER017C","YER017C","YER017C","AFG3","S000000819","YER017C","AFG3","ORF","Verified","current",-0.858333333333333,-0.087,-0.771333333333333,0,-0.805,-0.095,0.378063,-1.4851599057028,5068,FALSE,FALSE
"A_06_P6298","GENE707X","A_06_P6298","YOL105C","YOL105C","YOL105C","WSC3","S000005465","YOL105C","WSC3","ORF","Verified","current",-0.676666666666667,-0.08,-0.596666666666667,0,-0.71,-0.055,0.340998,-1.48526750688212,5069,FALSE,FALSE
"A_06_P6573","GENE2350X","A_06_P6573","YOR211C","YOR211C","YOR211C","MGM1","S000005737","YOR211C","MGM1","ORF","Verified","current",-0.586666666666667,-0.013,-0.573666666666667,0,-0.58,-0.035,0.266868,-1.48554793549724,5070,FALSE,FALSE
"A_06_P6215","GENE3305X","A_06_P6215","YOL024W","YOL024W","YOL024W","ORF:YOL024W","S000005384","YOL024W","","ORF","Verified","current",-0.231666666666667,0.450434782608696,-0.682101449275362,0,-0.115,0.43,0.266868,-1.48554793549724,5071,FALSE,FALSE
"A_06_P2543","GENE520X","A_06_P2543","YEL004W","YEL004W","YEL004W","YEA4","S000000730","YEL004W","YEA4","ORF","Verified","current",-0.45,0.00133333333333333,-0.451333333333333,1,-0.52,-0.03,0.229803,-1.48573542387425,5072,FALSE,FALSE
"A_06_P7163","GENE2475X","A_06_P7163","YPR116W","YPR116W","YPR116W","ORF:YPR116W","S000006320","YPR116W","RRG8","ORF","Verified","current",-0.326,0.321666666666667,-0.647666666666667,0,-0.36,0.34,0.37065,-1.48730479124615,5073,FALSE,FALSE
"A_06_P5182","GENE1324X","A_06_P5182","YLR364W","YLR364W","YLR364W","ORF:YLR364W","S000004356","YLR364W","GRX8","ORF","Verified","current",-1.16166666666667,0.195666666666667,-1.35733333333333,0,-1.195,0.125,0.785778,-1.49021538128064,5074,FALSE,FALSE
"A_06_P4631","GENE2160X","A_06_P4631","YKL219W","YKL219W","YKL219W","COS9","S000001702","YKL219W","COS9","ORF","Verified","current",-0.796666666666667,-0.154333333333333,-0.642333333333333,0,-0.695,-0.19,0.237216,-1.49755646232682,5075,FALSE,FALSE
"A_06_P3251","GENE1117X","A_06_P3251","YGR031W","YGR031W","YGR031W","ORF:YGR031W","S000003263","YGR031W","IMO32","ORF","Verified","current",-0.955,-0.142,-0.813,0,-0.995,-0.19,0.437367,-1.49804509767068,5076,FALSE,FALSE
"A_06_P4870","GENE3460X","A_06_P4870","YLR058C","YLR058C","YLR058C","SHM2","S000004048","YLR058C","SHM2","ORF","Verified","current",-1.275,-0.536,-0.739,0,-1.57,-0.485,0.622692,-1.50133113414843,5077,FALSE,FALSE
"A_06_P5282","GENE5468X","A_06_P5282","YLR463C","YLR463C","YLR463C","ORF:YLR463C","S000004455","YLR463C","","ORF","Dubious","current",-0.488333333333333,0.0643333333333333,-0.552666666666667,0,-0.51,0.075,0.289107,-1.50344249782194,5078,FALSE,FALSE
"A_06_P2663","GENE1019X","A_06_P2663","YER039C","YER039C","YER039C","HVG1","S000000841","YER039C","HVG1","ORF","Verified","current",-0.455,0.409333333333333,-0.864333333333334,0,-0.35,0.425,0.415128,-1.50448043981302,5079,FALSE,FALSE
"A_06_P3018","GENE3071X","A_06_P3018","YGL063W","YGL063W","YGL063W","PUS2","S000003031","YGL063W","PUS2","ORF","Verified","current",-0.498333333333333,0.293333333333333,-0.791666666666667,1,-0.57,0.105,0.348411,-1.50531543606201,5080,FALSE,FALSE
"A_06_P4787","GENE193X","A_06_P4787","YLL042C","YLL042C","YLL042C","APG10","S000003965","YLL042C","ATG10","ORF","Verified","current",-0.395,0.026,-0.421,1,-0.425,0.105,0.252042,-1.50550218439845,5081,FALSE,FALSE
